jurisdiction_id,jurisdiction,state,state_name,level,source,source_url,license,notes,mw_1938,mw_1939,mw_1940,mw_1941,mw_1942,mw_1943,mw_1944,mw_1945,mw_1946,mw_1947,mw_1948,mw_1949,mw_1950,mw_1951,mw_1952,mw_1953,mw_1954,mw_1955,mw_1956,mw_1957,mw_1958,mw_1959,mw_1960,mw_1961,mw_1962,mw_1963,mw_1964,mw_1965,mw_1966,mw_1967,mw_1968,mw_1969,mw_1970,mw_1971,mw_1972,mw_1973,mw_1974,mw_1975,mw_1976,mw_1977,mw_1978,mw_1979,mw_1980,mw_1981,mw_1982,mw_1983,mw_1984,mw_1985,mw_1986,mw_1987,mw_1988,mw_1989,mw_1990,mw_1991,mw_1992,mw_1993,mw_1994,mw_1995,mw_1996,mw_1997,mw_1998,mw_1999,mw_2000,mw_2001,mw_2002,mw_2003,mw_2004,mw_2005,mw_2006,mw_2007,mw_2008,mw_2009,mw_2010,mw_2011,mw_2012,mw_2013,mw_2014,mw_2015,mw_2016,mw_2017,mw_2018,mw_2019,mw_2020,mw_2021,mw_2022,mw_2023,mw_2024,mw_2025
US-FEDERAL,United States (Federal),US,United States,Federal,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),Federal minimum wage floor. States/localities may set higher rates. Data from Zipperer v1.4.0.,0.25,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.15,1.15,1.25,1.25,1.25,1.25,1.4,1.6,1.6,1.6,1.6,1.6,1.6,2.0,2.1,2.3,2.3,2.65,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
US-AK,Alaska,AK,Alaska,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.25,1.5,1.5,1.5,1.75,2.0,2.1,2.2,2.4,2.8,2.8,3.1,3.4,3.4,3.4,3.6,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.65,5.65,5.65,7.15,7.15,7.15,7.15,7.15,7.15,7.25,7.25,7.25,7.25,7.75,8.75,9.75,9.89,9.8,9.84,10.19,10.34,10.34,10.34,10.85,11.73,11.73
US-AL,Alabama,AL,Alabama,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
US-AR,Arkansas,AR,Arkansas,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,6.25,6.25,6.25,7.25,7.25,7.25,7.25,7.25,7.25,8.0,8.5,8.5,8.5,9.25,10.0,11.0,11.0,11.0,11.0,11.0
US-AZ,Arizona,AZ,Arizona,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75,6.9,7.25,7.25,7.35,7.65,7.8,7.9,8.05,8.05,10.0,10.5,11.0,12.0,12.15,12.8,13.85,14.35,14.7
US-CA,California,CA,California,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,5.0,5.75,5.75,5.75,6.25,6.75,6.75,6.75,6.75,6.75,7.5,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,10.5,11.0,12.0,13.0,14.0,15.0,15.5,16.0,16.5
US-CO,Colorado,CO,Colorado,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.85,7.02,7.28,7.24,7.36,7.64,7.78,8.0,8.23,8.31,9.3,10.2,11.1,12.0,12.32,12.56,13.65,14.42,14.81
US-CT,Connecticut,CT,Connecticut,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,6.15,6.4,6.7,6.9,7.1,7.1,7.4,7.65,7.65,8.0,8.25,8.25,8.25,8.25,8.7,9.15,9.6,10.1,10.1,10.1,12.0,13.0,14.0,15.0,16.35,16.35
US-DC,Washington D.C.,DC,Washington D.C.,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,6.15,6.15,6.15,6.6,6.6,7.0,7.0,7.55,8.25,8.25,8.25,8.25,8.25,9.5,10.5,11.5,12.5,13.25,14.0,15.0,15.2,16.1,17.0,17.5,17.5
US-DE,Delaware,DE,Delaware,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,6.15,6.15,7.15,7.15,7.25,7.25,7.25,7.25,7.25,7.75,8.25,8.25,8.25,8.25,9.25,9.25,10.5,11.75,13.25,15.0,15.0
